station;Date;Pression-mer;varia-pres-3h;Direc_ vent_M_10min;Vitesse_vent_moyen 10 mn;Température;Humidité;Visibilité horizontale;Nebulosité totale;Nébulosité  des nuages de l' étage inférieur;Hauteur de la base des nuages de l'étage inférieur;Pression station;Variation de pression en 24 heures;Température minimale sur 12 heures;Température maximale sur 12 heures;Température minimale du sol sur 12 heures;Rafale sur les 10 dernières minutes;Rafales sur une période;Periode de mesure de la rafale;Précipitations_ 6hrs;Précipitations_12hrs;Précipitations24hrs;Nébulosité couche nuageuse 1;Coordonnees;lieu
7643;2017-04-28 11:00:00+02:00;101640;-60;340;7,9;286,05;30;28310;;0;;101540;240;;;280.150000;12.000000;13.000000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-05-09 02:00:00+02:00;101540;-30;20;6,8;285,95;56;60000;;0;;101440;-300;;;287.050000;9.500000;10.800000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-05-10 02:00:00+02:00;100900;-30;20;2,8;285,55;68;60000;;0;;100800;-640;;;287.850000;3.600000;4.100000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-05-13 02:00:00+02:00;101050;80;10;3,7;286,65;96;7890;;0;;100950;650;;;288.550000;5.000000;5.000000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-05-13 08:00:00+02:00;101260;170;320;2,8;288,75;90;13690;100;8;3360;101160;890;285.550000;289.950000;287.950000;3.800000;4.000000;-10;0.000000;0;0;6;43.577, 3.963167;MONTPELLIER
7643;2017-04-01 23:00:00+02:00;101640;60;310;2,8;283,45;79;20000;60;1;4500;101540;-170;;;284.750000;3.600000;4.200000;-10;0.200000;0,2;8,7;1;43.577, 3.963167;MONTPELLIER
7643;2017-04-06 17:00:00+02:00;101640;30;10;7,4;294,35;26;17240;;0;;101550;30;;;282.850000;11.300000;13.600000;-10;0.000000;0;-0,1;;43.577, 3.963167;MONTPELLIER
7643;2017-04-09 02:00:00+02:00;102400;70;50;3,3;286,55;99;240;101;9;30;102300;380;;;285.850000;5.200000;5.200000;-10;0.000000;0;0;0;43.577, 3.963167;MONTPELLIER
7643;2017-04-16 02:00:00+02:00;102100;130;310;5;286,85;53;60000;;0;;102000;400;;;285.050000;7.000000;8.200000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-04-18 05:00:00+02:00;101660;-40;300;2,5;284,45;61;60000;;0;;101560;-280;;;283.350000;2.800000;3.300000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-04-22 17:00:00+02:00;102120;-270;210;5,5;290,45;45;24910;;0;;102020;-630;;;280.750000;7.900000;7.900000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-02-02 19:00:00+01:00;101100;20;130;10,4;286,05;90;8000;100;8;450;101000;-670;285.650000;287.050000;284.350000;13.600000;17.700000;-10;0.600000;0,6;0,6;5;43.577, 3.963167;MONTPELLIER
7643;2017-02-07 01:00:00+01:00;101830;90;310;4,3;279,85;55;60000;90;7;6360;101730;1120;;;280.150000;5.000000;5.000000;-10;0.000000;0;0;7;43.577, 3.963167;MONTPELLIER
7643;2017-02-09 10:00:00+01:00;101950;30;310;3;281,95;53;70000;10;1;;101850;290;;;279.250000;3.700000;3.800000;-10;0.000000;0;0;1;43.577, 3.963167;MONTPELLIER
7643;2017-02-09 19:00:00+01:00;101800;60;100;2,7;281,65;72;17680;90;7;1750;101700;-50;277.450000;286.450000;279.250000;3.400000;4.400000;-10;0.000000;0;0;7;43.577, 3.963167;MONTPELLIER
7643;2017-05-15 17:00:00+02:00;102440;-180;230;4,6;299,65;33;26800;;0;;102350;160;;;288.850000;5.300000;6.900000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-05-18 23:00:00+02:00;101430;60;300;7,6;289,25;64;60000;100;8;4020;101330;-390;;;291.850000;12.500000;13.000000;-10;0.000000;0;0;8;43.577, 3.963167;MONTPELLIER
7643;2017-05-19 11:00:00+02:00;101830;100;50;2,1;290,75;47;42930;90;7;1750;101730;320;;;287.250000;4.200000;5.500000;-10;0.000000;1;1;7;43.577, 3.963167;MONTPELLIER
7643;2017-05-20 05:00:00+02:00;102090;-30;280;6,6;285,55;65;60000;;0;;101990;510;;;287.850000;8.900000;9.300000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-06-01 11:00:00+02:00;102050;20;130;1,7;295,35;80;10870;90;4;800;101960;20;;;290.150000;2.800000;4.300000;-10;-0.100000;-0,1;-0,1;1;43.577, 3.963167;MONTPELLIER
7643;2017-06-02 02:00:00+02:00;101930;-80;20;2,2;291,35;89;8600;75;6;450;101840;-90;;;291.350000;2.700000;2.700000;-10;0.000000;0;1,4;1;43.577, 3.963167;MONTPELLIER
7643;2017-06-02 14:00:00+02:00;101890;-50;180;4,1;297,95;69;19530;;0;;101800;-110;;;289.450000;6.200000;6.200000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-07-20 17:00:00+02:00;101280;-100;180;3,9;301,65;46;49560;;4;4080;101190;-280;;;291.750000;5.300000;6.100000;-10;0.000000;0,2;1,4;4;43.577, 3.963167;MONTPELLIER
7643;2017-07-22 02:00:00+02:00;101320;80;280;1;293,75;65;34340;;0;;101230;100;;;292.950000;1.900000;3.400000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-07-24 17:00:00+02:00;101210;-40;300;11,9;302,45;29;21350;;1;2250;101120;-300;;;292.550000;17.900000;19.400000;-10;0.000000;-0,1;0,2;1;43.577, 3.963167;MONTPELLIER
7643;2017-07-25 08:00:00+02:00;101500;10;300;7,1;294,35;60;12810;;0;;101410;110;292.650000;299.450000;292.150000;9.900000;14.300000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-07-28 02:00:00+02:00;101410;50;270;3,1;297,75;61;60000;;0;;101320;40;;;296.650000;3.700000;4.600000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-07-30 17:00:00+02:00;101440;-80;150;4,3;299,55;60;29030;;0;;101350;-100;;;293.250000;5.400000;6.600000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-06-27 20:00:00+02:00;100480;-220;150;4,9;297,55;81;19960;;1;450;100390;-540;295.050000;301.250000;299.150000;6.900000;7.000000;-10;0.000000;0;-0,1;1;43.577, 3.963167;MONTPELLIER
7643;2017-06-30 11:00:00+02:00;101270;30;250;5;294,95;45;47150;;0;;101180;500;;;286.650000;7.700000;10.600000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-07-01 20:00:00+02:00;101760;80;310;8,4;297,15;41;50720;;3;1750;101670;360;290.650000;300.250000;292.350000;12.900000;13.500000;-10;0.000000;0;0;3;43.577, 3.963167;MONTPELLIER
7643;2017-07-02 05:00:00+02:00;101970;-50;290;7;292,55;61;60000;75;6;3660;101880;280;;;291.450000;11.100000;11.100000;-10;0.000000;0;0;3;43.577, 3.963167;MONTPELLIER
7643;2017-07-14 02:00:00+02:00;101700;60;320;7;297,15;50;60000;;0;;101610;-120;;;296.450000;9.800000;9.800000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-07-15 02:00:00+02:00;101820;120;280;2,1;296,25;51;60000;;0;;101730;120;;;294.650000;3.600000;4.600000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
7643;2017-07-15 11:00:00+02:00;101820;-40;330;5,5;300,85;31;20000;;0;;101730;50;;;292.850000;8.700000;11.400000;-10;0.000000;0;0;;43.577, 3.963167;MONTPELLIER
